src,predicted,actual
that would be nice,अच्छा रहेगा,अच्छा रहेगा
you have a death wish,तुम्हें एक सवाल है प्रिया है,आप एक मरने की इच्छा है
you will help him,तुम उसकी मदद करोगे,तुम उसकी मदद करोगे
brotherinlaw is not suspecting us right,जीजाजी हम पर शक तो नहीं कर रहे हैं ना,जीजाजी हम पर शक तो नहीं कर रहे हैं ना
what are you doing,तुम क्या कर रहे हो,आप क्या कर रहे हैं
he took all the dragons,वह दो कुंजी मिल थी,वह सारे ड्रैगन्स ले गया
out of the car,रास्ते से हट जाओ,बाहर कार की
seven and a half,आकार और और साल,साढ़े सात साल
cmon we will miss our train,चलो भी हमारी ट्रेन छूट जाएगी,चलो भी हमारी ट्रेन छूट जाएगी
can we be traced,हम हम घर कर सकते हैं,हम पता लगाया जा सकता है
and your place is here,और बच्चा बच्चा यहाँ होता है,और तुम्हारा स्थान यहाँ है
and she forgot a donkey,और वह गधा भूल गया,और वह गधा भूल गया
the suit has power,सूट की शक्ति है,सूट की शक्ति है
that is what we are doing,कि हम क्या कर रहे है,कि हम क्या कर रहे है
i thought i could,मैं खुद को पसंद करता हूँ,मैं मैं कर सकता है
running from him for years,साल के लिए उसके पास से चल रहा है,साल के लिए उसके पास से चल रहा है
get him out of there,उसे वहां से बाहर जाओ,उसे वहां से निकल जाओ
i repair this crime,मैं इसे ठीक करूगी,मैं इसे ठीक करूगी
we can fix it right,हम अभी भी विश्वास कर सकते हैं,हम सही है यह तय कर सकते हैं
i am sorry about tennessee,मुझे उनकी चिंता है,मैं टेनेसी के बारे में खेद है
i know i can,नहीं मैं लगता हूँ,मैं जानता हूँ कि मैं कर सकता हूँ
maybe he showed me something,शायद उसने मुझे कुछ पता दिखाया हो,शायद उसने मुझे कुछ पता दिखाया हो
someone help me,आप बच्चे ही कुछ एक,कोई मेरी मदद करो
do not give me that look,ऐसे मत देखो मुझे,ऐसे मत देखो मुझे
who is the wimp now,कौनइसराजासिकंदरहै,अब डरपोक कौन है
how are you guys doing,तो कैसे हो तुम लोग,तो कैसे हो तुम लोग
who is this now,ये कौन है,अब यह कौन है
listen to your breath,अपनी वर्दी लटकाने के लिए,अपनी सांस को सुनो
and where is this witch,और यह इस गलत है,और जहां इस डायन है
lord we love you,प्रभु हम आपको प्यार करते हैं,प्रभु हम आपको प्यार करते हैं
for you my dear anything,आप इस सब सब कुछ अच्छा किया,तुम्हारे लिए मेरी जान मैं कुछ भी करूँगा
go check it out,जाओ जाँच करो,जाओ जाँच करो
little pussy big knife,अगली पांच पक गयी है,छोटा चूत बड़ा चाकू
we are going back,हम कहाँ जा रहे हैं,हम वापस जाएँगे
i need the help,मैं तुम्हारी मदद की जरूरत है,मैं मदद की जरूरत है
where is my shit bitch,ये जन्मदिन कहां है,मेरी बकवास कुतिया कहां है
what are you doing,तुम क्या कर रहे हो,क्या कर रहे हो
cut it out skinny,स्कीनी उसे काट दिया,स्कीनी उसे काट दिया
oh there i am,ये रहा मैं,ये रहा मैं
let us get back to work,हम खुद के लिए आ लो,के काम पर वापस मिलता है
oh i will sweetheart,ओह मैं बहुत प्यार हूं,अरे कह दूँगा प्रिये
i said to myself,मैं अपने आप से कहा,मैं अपने आप से कहा
dad you are na gon love this,इसके आप इसके बारे में देख रहे हैं,पापा आपको बहुत पसंद आएगा
tier south,टीयर दक्षिण,टीयर दक्षिण
definitely not that funny,निश्चित नहीं हास्यास्पद है,निश्चित नहीं हास्यास्पद है
but master shifu said,लेकिन वहाँ पिता खास,गुरू शीफ़ू ने
i am that shiva only,मैं ये शिवा हूँ,मैं ये शिवा हूँ
please do not go away,कृपया बाहर नहीं जाना है,महरबानी करके दूर नहीं जाना
how long you staying,तुम कितना हो,तुम कब तक रह
what is the deal with puppies,सभी भीड़ में क्या है,पपीज़ के साथ क्या मुश्किल है
alice us immediately,ओह मिस्टर ओह जाएगी,यह हमें   ऐलिस
yeah i will show you,हाँ मैं तुम्हें सिखाऊँगा,हां मैं तुम्‍हें दिखाऊंगा
what do you got,तुम्‍हें क्‍या मिला,तुम्‍हें क्‍या मिला
no problem mr ullman,कोई समस्या नहीं है श्री उलमन,कोई समस्या नहीं है श्री उलमन
oh you are jennas favour,तो तुम कहाँ हैं,तुम जेना का काम हो
that is none of your concern,वो किसी में नहीं नहीं है,यही कारण है कि अपनी चिंता की बात नहीं है
milking a cow making cheese,एक खेत में,एक खेत में
does she know i am upstairs,नहीं बिल्कुल मैं हूँ हूँ,उसे पता है मैं ऊपर हूं
marina i do not know,दुर्भाग्य मैं नहीं जानता था,मेरिना मुझे नहीं पता
how is your day,क्या मेरी दिन है,आपका दिन कैसा है
you are loyal to a fault,आप एक गलती के लिए वफादार रहे हैं,आप एक गलती के लिए वफादार रहे हैं
we have to go now,हमें जाने की लिया है,हम अब जाना है
i am done with that,मैं अपने साथ रहने के रहा हूँ,मैं इस के साथ काम कर रहा हूँ
we need to override the,हम ओवरराइड करने के लिए की जरूरत है,हम ओवरराइड करने के लिए की जरूरत है
i should have warned you,मैं तुम्हारे ऊपर किया है,मैं तुम्हें चेतावनी दी है चाहिए
get the main power line,जमीन पर बैठ जाओ,मुख्य विद्युत लाइन जाओ
possibly even to life,शायद हिमलर के सहयोग किया,संभवतः जीवन को भी
do you do massage,क्या आप मालिश करती हैं,क्या आप मालिश करती हैं
love has opened my eyes,तो अपने हाथ में अपने आसपास,प्यार मेरी आँखें खोल दिया है
♪ that is my home ♪,कितनी पर पर चलते हैं,वह मेरा घर है
no i do not think so,नहीं मैंने नहीं सुना,नहीं मैं ऐसा नहीं सोचता
did he do like that,वह नहीं कि करता है,क्या उसने ऐसा किया
you see thieves everywhere bandits,तुमने सच में छत को धमकी की,तुम हर जगह देखती हो चोर डाकुओं को
just a moment sir,बस एक फैसला,बस एक पल सर
the traitor will be yours,तंग कौन करो,गंदा गद्दार तुम्हारा होगा
just my special song,बस एक नानी मजबूर,बस मेरा स्पेशल गाना
who the hell are you,तुम कौन हो,आखिर आप हैं कौन
where did you get this,आप यह मिलता होगा,तुम्हें यह कहाँ मिला
let me out of here,मुझे यहाँ से बाहर,मुझे यहाँ से बाहर
you are my world,तुम मेरी दुनिया हो,तुम मेरी दुनिया हो
you must not be afraid,आप ऐसा नहीं होना चाहिए,तुम्हें डरना नहीं चाहिए
my parents are in danger,हड़पनेवाले मर चुका है,मेरे मम्मीपापा खतरे में हैं
i will go get abhimanyu,मैं नीचे से जाना होगा,मैं अभिमन्यु मिल जायेंगे
a strongly sexual affair,एक प्रोलिटिक पाचक बढ़ता है,एक जोरदार यौन चक्कर
no you do not,नहीं   कभी नहीं,नहीं तुम नहीं करते
oh baby it is on,बेबे यह आओ,ओह बेबी उस पर है
it is not his fault,यह उसकी गलती नहीं है,यह उसकी गलती नहीं है
i thought i killed you,मैं मैं तुम्हें सिखाऊँगा,मैंने सोचा कि मैं आप को मार डाला
we will not stand for this,हम इसे पहचान नहीं है,हम यह नहीं सहेंगे
go to your room,अपनी बाईं ओर देखो,अपने कमरे में जाओ
for you for you,आप के िलए भगवान का शुक्र है बेटा,तुम्हारे लिए
it is so goddamn arbitrary,यह महान हो हिस्सा है,यह इतना धत् तेरे की मनमानी है
you should have this,आप यह करना चाहिए,आपको यह करना चाहिए था
i just i really,मैं मैं तुम्हें ही बताओ,बस मैं वास्तव में मैं
pleasure doing business with you,आप तुम आप के साथ है,तुम्हारे साथ कारोबार करके खुशी हुई
a chance at our rebirth,हमारे पुनर्जन्म पर एक मौका,हमारे पुनर्जन्म पर एक मौका
there is a ladies room downstairs,नीचे एक लेडीज़ रूम है,नीचे एक लेडीज़ रूम है
no it was last thursday,नहीं यह मेरी पूर्व बुलाता है,पिछले बृहस्पति को था
not yet fully committed,कोई कोई कभी नहीं होगी,अभी तक पूरी तरह से कमिटिड नहीं हुयी
from humans koba learned hate,के और और बुला बुला रहा है के डी के   को,कोबा ने मनुष्यों से नफ़रत करना सीखा
place is very nicely selfcontained,मास्टर मेरा दो बजे गये है,जगह अपने आप में पूरी तरह परिपुर्ण रखी गयी है
earth belongs to humans,मेरी सुविधाओं को देखो,पृथ्वी मनुष्य के अंतर्गत आता है
your daughter is fine,आपका पैक ठीक है,तुम्हारी लड़की ठीक है
do not touch the body,मत मत मत देखो,सिर जैसा वादा किया
first bite he is got grace,प्रथम काटने वह अनुग्रह मिला है,प्रथम काटने वह अनुग्रह मिला है
get off the phone,बंद से जाओ,फोन पर बात करना छोड़ो
for crying out loud here,में के लिए   यहां,उधार नहीं चलता यहां
i did not think so,मैं ऐसा नहीं सोचता,मुझे ऐसा नहीं लगता था
she was a dear friend,वह एक अच्छा थी,वह एक प्रिय दोस्त था
fruit of thy womb,तुम्हारे पेट का फल,तुम्हारे पेट का फल
he sends hookers to peter,वह उन्हें गिरफ्तार की साथ दिलाती है,वह पीटर करने के लिए भेजता है वेश्यांए
i do not know,मुझे नहीं पता,पता नहीं
shorties not enjoying their mother,कुछ इस की ज्यादातर में बाहर किया है,छोटे बच्चों को अपनी मां का प्यार नहीं मिल रहा है
and where can you go,और अब आप कर सकते हैं,और तुम कहाँ जा सकते हो
one day we were ambushed,कम अलावा हमारी जुड़वाँ शांत हैं,एक दिन हम पर घात लगाकर हमला किया गया
freedom county near mount hope,वो किसी ने तो फिल नहीं चलेगा,स्वतंत्रता काउंटी पर्वत के पास आशा है
he is a phantom an apparition,उन्होंने एक एक राक्षस रात लिया है,वह एक प्रेत एक आभास है
♪ and his newest woe,फ्रॉ जुंग और ठोड़ी,♪ औरउसकेनवीनतमशोक
well it is not too late,लेकिन यह कोई बात नहीं है,खैर यह भी देर नहीं हुई है
the sunday sweater said bengta,आपकी त्वचा बहुत ठोड़ी है,रविवार स्वेटर बैंग्टा ने कहा
tuck it right in there,यह वहाँ सही टक,यह वहाँ सही टक
did you eat,क्या आप आशीर्वाद पसंद,क्या तुम खाया
are we worried about him,वे इस बारे में बाद में देखेंगे,हम उसके बारे में चिंतित हैं
i know where doug is,पता है कि यह पता है,मैं जानता हूँ कि जहाँ डौग है
is he missing a tooth,क्या वह एक दांत गायब है,क्या वह एक दांत गायब है
door bell muss,फ्रेंच पॉप गीत खेल,दरवाजे की घंटी अव्यवस्था
hey guys hold on,अरे दोस्तों रुको,अरे दोस्तों रुको
do not call me love,तुम किससे बता मत नहीं,मुझे जान मत बुलाओ
are you listening to me,क्या मुझे मुझसे लिए चाहते हो,क्या आप मुझे सुन रहे हैं
everyones staring at you,तुम आप बन गए,हर कोई आपको घूर है
pelle you step forward,दयनीय तुम इतनी पकड़ने पसंद हैं,पेले आगे कदम बढ़ाओ
that is touching do not you think,काफ़ी मर्मस्पर्शी है है न,काफ़ी मर्मस्पर्शी है है न
is he asking for money,शायद खाना है के लिए के अंतर्गत के इंसान,क्या वह पैसे मांग रहा है
you are a good man davide,तुम एक अजीब आदमी हो,आप एक अच्छा आदमी डेविड रहे हैं
well this is it,लेकिन यह है,खैर यह बात है
we have to go,हमें जाना है,हमें जाना होगा
what be aye heading captain,कि व्यक्त आदमी क्या हैं,कैप्टन कोर्स क्या होगा
he dies we die,या हम हमें पछाड़ चुके हैं,वह मर जाता है हम मर जाते हैं
or a feeling of hope,शायद फिर ने सब ऑटोग्राफ़ भी करते हैं,मुझे उम्मीद से भरना
i would like nothing better,मैं उसे कभी नहीं से पहले देखा था,मैं बेहतर कुछ भी नहीं करना चाहते हैं
we do not have all day,हमारे पास सारा दिन नहीं है,हमारे पास सारा दिन नहीं है
it is not me astrid,यह यह नहीं फ़िलिप,यह काम मेरे लिए उचित नहीं ऐस्ट्रिड
every desire is incomplete,यह वास्तव में अच्छा है,हर इच्छा अधूरी है
